X,Y,OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
-75.708121999230855,40.002537000282416,83,DOW,"Downingtown, Pennsylvania",West Lancaster Ave. and Stuart Ave.,,Downingtown,PA,19335,RAIL,42
-89.240157999891721,38.011352999841108,84,DQN,"Du Quoin, Illinois",20 North Chestnut St.,,Du Quoin,IL,62832-1602,RAIL,17
-83.982437000567074,42.909779000200729,85,DRD,"Durand, Michigan",200 South Railroad St.,,Durand,MI,48429-1713,RAIL,26
-100.901465999855986,29.363080999688464,86,DRT,"Del Rio, Texas",100 North Main Street,,Del Rio,TX,78840,RAIL,48
-79.331017000134409,42.485331999572168,87,DUK,"Dunkirk, New York",411 Central Ave.,P&G Foods,Dunkirk,NY,14048,BUS,36
-92.124008000268987,46.76660199958269,88,DUL,"Duluth (Greyhound Station), Minnesota",4426 Grand Ave.,Greyhound Terminal,Duluth,MN,55806,BUS,27
-122.26997400039977,41.211173999580467,89,DUN,"Dunsmuir (Amtrak Station), California",5750 Sacramento Avenue,Amtrak Passenger Station,Dunsmuir,CA,96025-2024,RAIL,06
-92.076770028813769,46.810445138232581,90,DUU,"Duluth (University of Minnesota), Minnesota",175 Kirby Student Union,,Duluth,MN,55812,BUS,27
-87.636116000153265,40.119427000156008,91,DVI,"Danville, Illinois",379 Lynch Road,BP Amoco Station,Danville,IL,61834-9378,BUS,17
-98.86137399951042,48.110645000066768,92,DVL,"Devils Lake, North Dakota",Railroad Ave. and Third St.,,Devils Lake,ND,58301,RAIL,38
-90.577422999871487,41.519736999962618,93,DVP,"Davenport, Iowa",304 West River Drive,,Davenport,IA,52801,BUS,19
-75.525293588228465,39.149950037364363,94,DVR,"Dover, Delaware",716 South Governors Ave,City Cab,Dover,DE,19901-4633,BUS,10
-88.428322000659762,41.092049000061365,95,DWT,"Dwight, Illinois",119 West Main St.,,Dwight,IL,60420-1321,RAIL,17
-81.00911699944993,29.228230999860784,96,DYA,"Daytona Beach, Florida",100 North Atlantic Ave,Hilton Daytona Beach Ocean Walk Village,Daytona Beach,FL,32118-4273,BUS,12
-87.518187999176803,41.498528000367003,97,DYE,"Dyer, Indiana",913 Sheffield Avenue,(near Sheffield and Matteson),Dyer,IN,46311,RAIL,18
-122.383071999872868,47.811295000064263,98,EDM,"Edmonds, Washington",211 Railroad Ave.,,Edmonds,WA,98020-4132,RAIL,53
-88.545714999447625,39.119156000449095,99,EFG,"Effingham, Illinois",401 West National Ave.,,Effingham,IL,62401-3772,RAIL,17
-74.649330023062078,39.527059995422519,100,EGH,"Egg Harbor City, New Jersey",South Philadelphia Ave & Atlantic Ave,New Jersey Transit,Egg Harbor City,NJ,08215,OTHER,34
-124.168891002417809,40.800629881064197,101,EKA,"Eureka, California",Sixth and C Sts.,Bus stop behind Denny's,Eureka,CA,95501,BUS,06
-121.482535565064268,38.424579809510647,102,EKG,"Elk Grove, California",Harbor Point Drive at Renwick Avenue,Across from McDonald's,Elk Grove,CA,95758,BUS,06
-85.971054000441711,41.680720999874325,103,EKH,"Elkhart, Indiana",131 Tyler Avenue,,Elkhart,IN,46515,RAIL,18
-106.49012552237491,31.757270971578123,104,ELB,"El Paso (Bus Station), Texas",200 W. San Antonio Ave.,,El Paso,TX,79901-1048,BUS,48
-115.753394999779402,40.836875999427889,105,ELK,"Elko, Nevada",12th and Silver Sts.,,Elko,NV,89801,RAIL,32
-106.494888000081119,31.757725000608332,106,ELP,"El Paso, Texas",700 San Francisco St.,,El Paso,TX,79901,RAIL,48
-123.546560892071454,45.857760539717162,107,ELS,"Elsie, Oregon",44573 Highway 26,Baker's General Store/Hardware,Elsie,OR,97138,BUS,41
-76.614578000174504,40.147400000509663,108,ELT,"Elizabethtown, Pennsylvania",South Wilson Avenue at West High Street,,Elizabethtown,PA,17022,RAIL,42
-82.097008000019173,41.37005199950022,109,ELY,"Elyria, Ohio",410 East River Road,,Elyria,OH,44035,RAIL,39
-122.290680000181851,37.840679000035891,110,EMY,"Emeryville, California",5885 Horton Street,,Emeryville,CA,94608-2037,RAIL,06
-119.548644999766907,47.320595000059257,111,EPH,"Ephrata, Washington",24 Alder St NW,Bus leaves from 90 Alder St NW,Ephrata,WA,88823-2421,RAIL,53
-119.752892000065742,37.678543000059449,112,EPL,"El Portal, California",11136 Highway 140,Yosemite View Lodge,El Portal,CA,95318-0169,BUS,06
-80.081039000549424,42.121127999957309,113,ERI,"Erie, Pennsylvania",125 West 14th Street,,Erie,PA,16501,RAIL,42
-113.609481999694481,48.280861000334937,114,ESM,"Essex, Montana",290 Izaak Walton Inn Rd,Izaak Walton Inn,Essex,MT,59916-9710,RAIL,30
-73.11045099941407,44.492572999444405,115,ESX,"Essex Junction, Vermont",29 Railroad Ave.,,Essex Jct.,VT,05452,RAIL,50
-123.091843000054382,44.055385999464363,116,EUG,"Eugene, Oregon",433 Willamette Street,,Eugene,OR,97401-2613,RAIL,41
-122.215622000354983,47.979282000064302,117,EVR,"Everett, Washington",3201 Smith Ave.,,Everett,WA,98201,RAIL,53
